"","newCol","tsDataF.NO2"
"867","04/04/2021 24",29
"868","04/05/2021 01",26
"869","04/05/2021 02",37
"870","04/05/2021 03",35
"871","04/05/2021 04",35
"872","04/05/2021 05",37
"873","04/05/2021 06",37
"874","04/05/2021 07",38
"875","04/05/2021 08",34
"876","04/05/2021 09",29
"877","04/05/2021 10",26
"878","04/05/2021 11",25
"879","04/05/2021 12",20
"880","04/05/2021 13",17
"881","04/05/2021 14",13
"882","04/05/2021 15",13
"883","04/05/2021 16",12
"884","04/05/2021 17",19
"885","04/05/2021 18",19
"886","04/05/2021 19",24
"887","04/05/2021 20",16
"888","04/05/2021 21",22
"889","04/05/2021 22",27
"890","04/05/2021 23",24
"891","04/05/2021 24",19
"892","04/06/2021 01",27
"893","04/06/2021 02",22
"894","04/06/2021 03",18
"895","04/06/2021 04",18
"896","04/06/2021 05",32
"897","04/06/2021 06",32
"898","04/06/2021 07",31
"899","04/06/2021 08",33
"900","04/06/2021 09",38
"901","04/06/2021 10",30
"902","04/06/2021 11",12
"903","04/06/2021 12",8
"904","04/06/2021 13",16
"905","04/06/2021 14",31
"906","04/06/2021 15",26
"907","04/06/2021 16",42
"908","04/06/2021 17",44
"909","04/06/2021 18",44
"910","04/06/2021 19",32
"911","04/06/2021 20",35
"912","04/06/2021 21",44
"913","04/06/2021 22",45
"914","04/06/2021 23",44
"915","04/06/2021 24",39
"916","04/08/2021 01",25
"917","04/08/2021 02",23
"918","04/08/2021 03",18
"919","04/08/2021 04",19
"920","04/08/2021 05",23
"921","04/08/2021 06",29
"922","04/08/2021 07",27
"923","04/08/2021 08",23
"924","04/08/2021 09",24
"925","04/08/2021 10",32
"926","04/08/2021 11",30
"927","04/08/2021 12",27
"928","04/08/2021 13",26
"929","04/08/2021 14",22
"930","04/08/2021 15",20
"931","04/08/2021 16",24
"932","04/08/2021 17",26
"933","04/08/2021 18",25
"934","04/08/2021 19",19
"935","04/08/2021 20",16
"936","04/08/2021 21",15
"937","04/08/2021 22",23
"938","04/08/2021 23",19
"939","04/08/2021 24",15
"940","04/09/2021 01",24
"941","04/09/2021 02",19
"942","04/09/2021 03",15
"943","04/09/2021 04",11
"944","04/09/2021 05",15
"945","04/09/2021 06",18
"946","04/09/2021 07",21
"947","04/09/2021 08",25
"948","04/09/2021 09",23
"949","04/09/2021 10",20
"950","04/09/2021 11",22
"951","04/09/2021 12",23
"952","04/09/2021 13",24
"953","04/09/2021 14",21
"954","04/09/2021 15",19
"955","04/09/2021 16",15
"956","04/09/2021 17",19
"957","04/09/2021 18",25
"958","04/09/2021 19",25
"959","04/09/2021 20",15
"960","04/09/2021 21",13
"961","04/09/2021 22",11
"962","04/09/2021 23",10
"963","04/09/2021 24",11
"964","04/10/2021 01",14
"965","04/10/2021 02",12
"966","04/10/2021 03",12
"967","04/10/2021 04",13
"968","04/10/2021 05",19
"969","04/10/2021 06",21
"970","04/10/2021 07",22
"971","04/10/2021 08",22
"972","04/10/2021 09",19
"973","04/10/2021 10",17
"974","04/10/2021 11",17
"975","04/10/2021 12",19
"976","04/10/2021 13",16
"977","04/10/2021 14",16
"978","04/10/2021 15",16
"979","04/10/2021 16",15
"980","04/10/2021 17",15
"981","04/10/2021 18",23
